TIC,Star Name,Planet Name,Star Temperature [K],Star Temperature Error Lower [K],Star Temperature Error Upper [K],Star Radius [Rs],Star Radius Error Lower [Rs],Star Radius Error Upper [Rs],Star log(g),Star log(g) Error Lower,Star log(g) Error Upper,Star Distance [pc],Star Distance Error Lower [pc],Star Distance Error Upper [pc],Star TESS Mag,Star RA,Star Dec,TFOPWG Disposition,Creation Date,Planet Radius [Re],Planet Radius Error Lower [Re],Planet Radius Error Upper [Re],Transit Mid Time,Transit Mid Time Error Lower [days],Transit Mid Time Error Upper [days],Transit Depth [%],Transit Depth Error Lower [%],Transit Depth Error Upper [%],Transit Duration [hr],Transit Duration Error Lower [hr],Transit Duration Error Upper [hr],Planet Period [days],Planet Period Error Lower [days],Planet Period Error Upper [days],Rp/Rs,TOI Disposition,TFOP Master,TFOP SG1a,TFOP SG1b,TFOP SG2,TFOP SG3,TFOP SG4,TFOP SG5,Alerted,Updated,Public Comment,Sectors,FP_Flag,Known,EB,VS,NASA PC,Assumed Parameters,Star Mass [Ms],Star Metallicity,Star V Mag,Star T Mag,Star J Mag,Star H Mag,Star Ks Mag,Star W1 Mag,Star W2 Mag,Star W3 Mag,Mass Flag,Planet Mass Error Upper [Me],Planet Mass Error Lower [Me],Planet Mass [Me],Planet Mass [Mjup],Planet Mass Error Upper [Mjup],Planet Mass Error Lower [Mjup],Planet Radius [Rjup],Planet Radius Error Upper [Rjup,Planet Radius Error Lower [Rjup],Planet Semi-major Axis [au],Planet Semi-major Axis [m],a/Rs,Eccentricity,Inclination,Periastron,Impact Parameter,Planet Albedo,Heat Redistribution Factor,Mean Molecular Weight,Expected Radial Velocity Amplitude [m/s],Expected Radial Velocity Amplitude Error Upper [m/s],Expected Radial Velocity Amplitude Error Lower [m/s],Transit Duration T14 [s],Eclipse Duration E14 [s],Planet Insolation Flux [W/m2],Planet Insolation Flux [Earth],Eclipse Mid Time,Available Transits,Available Eclipses,Planet Temperature [K],Tier 1 Transits,Tier 2 Transits,Tier 3 Transits,Tier 1 Eclipses,Tier 2 Eclipses,Tier 3 Eclipses,Preferred Method,Tier 1 Observations,Tier 2 Observations,Tier 3 Observations,FGS1_Flag,FGS2_Flag,FGS_Flag,Max Tier
445456888,TOI-2363,TOI-2363.01,6510,-127.8,127.8,1.81167,-0.08,0.08,4.04902,-0.09,0.09,721.25,-11.557,11.557,12.1046,112.875366,-52.985887,PC,23/10/2020 19:58,14.52133859,-0.7071,0.7071,2459990.19,-0.002664,0.002664,0.54,-0.000335228,0.000335228,3.879,-0.412,0.412,5.5436298,-1.34E-05,1.34E-05,0.073484692,PC,3,4,3,3,4,4,4,2020-10-23 19:58:28.736261+00:00,2025-07-09 23:24:00.600000+00:00,Crowded field; CTOI from Marco Montalto,"[7, 8, 9, 33, 34, 35, 36, 61, 62]",0,0,0,0,TRUE,,1.34,,12.678,12.1046,11.506,11.272,11.184,11.12,11.141,11.196,TRUE,515.24,-218.04,378.65,1.191366134,1.621126335,-0.686030561,1.295509283,0.063083345,-0.063083345,0.067601283,10113008025,8.023784495,0,90,0,0,0.2,0.8,2.3,112.6,153.1,64.8,13964.4,13964.4,1581112.636,1161.580041,2459992.962,224,225,1625.086052,17,251,499,3,23,46,Eclipse,3,23,46,0,0,0,1
39218269,TOI-2366,TOI-2366.01,6049.74,-143.6,143.6,2.04765,-0.18,0.18,3.86709,-0.1,0.1,439.569,-9.183,9.183,11.8402,88.505022,-3.639907,APC,23/10/2020 19:58,12.49564199,-1.38748,1.38748,2459224.967,-0.004347,0.004347,0.313,-0.00130438,0.00130438,3.845,-1.234,1.234,17.1869882,-0.0001376,0.0001376,0.055946403,PC,3,4,3,3,4,4,4,2020-10-23 19:58:28.872713+00:00,2021-02-19 16:27:37.564000+00:00,some asymmetry in transit between ingress and egress; CTOI from Marco Montalto,"[6, 33]",0,0,0,0,TRUE,,1.126,-0.037,12.492,11.8402,11.073,10.8,10.706,10.643,10.671,10.717,TRUE,681.34,-261.13,422.87,1.330497813,2.14373538,-0.821606863,1.114788426,0.123782887,-0.123782887,0.135647011,20292504021,14.24485102,0,90,0,0,0.2,0.8,2.3,96.8,156,59.8,13842,13842,374090.286,274.8291298,2459233.56,22,23,1133.424919,58,743,1474,10,84,170,Eclipse,10,84,170,0,0,0,1
441159680,TOI-2367,TOI-2367.01,6046,-123,123,1.07548,-0.06,0.06,4.42408,-0.08,0.08,467.516,-10.745,10.745,12.3193,333.111347,-26.92637,PC,23/10/2020 19:58,15.60259854,-0.779097,0.779097,2459084.787,-0.00077,0.00077,1.769,-0.000338406,0.000338406,3.734,-0.154,0.154,5.74984,-1.00E-05,1.00E-05,0.133003759,PC,3,4,3,3,4,4,4,2020-10-23 19:58:28.918421+00:00,2020-10-23 16:35:35.034000+00:00,Slight depth-aperture correlation; CTOI from Marco Montalto,[28],0,0,0,0,TRUE,,1.12,,12.91,12.3193,11.734,11.454,11.412,11.404,11.43,11.399,TRUE,440.42,-198.31,360.95,1.135675706,1.385716289,-0.623953038,1.391973001,0.069506498,-0.069506498,0.065250567,9761345832,13.04623982,0,90,0,0,0.2,0.8,2.3,119.5,145.7,65.6,13442.4,13442.4,444883.9954,326.8384288,2459087.662,62,63,1183.615016,3,49,97,2,11,24,Eclipse,2,11,24,1,0,1,2
220068921,TOI-2369,TOI-2369.01,5713.32,-133.1,133.1,1.27062,-0.09,0.09,4.23864,-0.09,0.09,418.29,-8.3105,8.3105,12.1227,83.913807,4.82797,PC,23/10/2020 19:58,11.62047896,-0.771513,0.771513,2458489.438,-0.00255,0.00255,0.703,-0.000293661,0.000293661,3.418,-0.211,0.211,3.36376,-0.00068,0.00068,0.083845095,PC,3,4,3,3,4,4,4,2020-10-23 19:58:29.015385+00:00,2020-10-23 16:34:55.096000+00:00,Some centroid shift and slight depth-aperture correlation; CTOI from Marco Montalto,[6],0,0,0,0,TRUE,,1.02,0.504,12.819,12.1227,11.374,11.046,11.002,10.88,10.937,10.731,TRUE,656.23,-241.71,383.28,1.205933743,2.064730485,-0.760504709,1.036711476,0.068829898,-0.068829898,0.044243322,6618706800,7.487476157,0,90,0,0,0.2,0.8,2.3,161.4,276.4,101.8,12304.8,12304.8,1076911.016,791.1633328,2458491.12,110,111,1476.406081,17,248,494,2,12,25,Eclipse,2,12,25,0,0,0,2
347357977,TOI-2370,TOI-2370.01,5851,-125.1,125.1,1.043,-0.05,0.05,4.42557,-0.08,0.08,294.752,-2.722,2.722,11.4878,132.898822,-16.386277,PC,23/10/2020 19:58,5.676944667,-0.318192,0.318192,2459262.512,-0.003032,0.003032,0.249,-0.000288725,0.000288725,3.827,-0.406,0.406,12.6826724,-0.0001138,0.0001138,0.0498999,PC,3,4,3,3,4,4,4,2020-10-23 19:58:29.183545+00:00,2021-06-11 17:28:23.781000+00:00,CTOI from Marco Montalto,"[8, 34, 35]",0,0,0,0,TRUE,,1.057,,11.592,11.4878,10.881,10.611,10.547,10.506,10.538,10.595,TRUE,39.74,-16.83,29.28,0.092125183,0.125036023,-0.052953102,0.506463951,0.028387238,-0.028387238,0.108420633,16219495820,22.35275399,0,90,0,0,0.2,0.8,2.3,7.7,10.5,4.5,13777.2,13777.2,132915.6653,97.64780857,2459268.854,31,32,875.0836732,6,83,166,144,1209,2368,Transit,6,83,166,0,0,0,1
432132155,TOI-2371,TOI-2371.01,5774,-129.7,129.7,1.29201,-0.07,0.07,4.22838,-0.08,0.08,471.152,-13.9325,13.9325,12.2036,137.31171,-19.778021,PC,23/10/2020 19:58,14.04336483,-0.787613,0.787613,2459275.495,-0.00165,0.00165,0.993,-0.000362457,0.000362457,3.752,-0.211,0.211,4.8984239,-1.38E-05,1.38E-05,0.099649385,PC,3,4,3,3,4,4,4,2020-10-23 19:58:29.095194+00:00,2021-06-11 17:27:27.501000+00:00,Slight depth-aperture correlation; Gaia DR2 RV error ~2.5 km/s; CTOI from Marco Montalto,"[8, 35]",0,0,0,0,TRUE,,1.03,,12.941,12.2036,11.554,11.202,11.143,11.078,11.12,11.081,TRUE,551.61,-227.49,388.05,1.220941841,1.735559153,-0.715763586,1.252867247,0.070266246,-0.070266246,0.057027117,8531135299,9.491152494,0,90,0,0,0.2,0.8,2.3,143.3,203.6,83.9,13507.2,13507.2,699158.0864,513.6434055,2459277.944,83,85,1325.263711,9,122,242,2,12,25,Eclipse,2,12,25,0,0,0,2
164150537,TOI-2375,TOI-2375.01,5669,-124.6,124.6,1.18707,-0.06,0.06,4.29343,-0.08,0.08,521.117,-6.244,6.244,12.6389,335.74211,30.573268,PC,28/10/2020 23:33,17.81485598,-1.21189,1.21189,2459850.541,-0.001609,0.001609,1.893,-0.16978,0.16978,1.808,-0.419,0.419,6.1600755,-1.41E-05,1.41E-05,0.137586337,PC,3,4,3,3,4,4,4,2020-10-28 23:33:59.256739+00:00,2023-02-05 23:58:14.151000+00:00,large; possible odd-even,"[16, 56]",0,0,0,0,TRUE,,1.01,,13.162,12.6389,11.943,11.658,11.552,11.517,11.557,11.539,TRUE,318.26,-161.92,328.94,1.034960983,1.001357945,-0.509457294,1.589337729,0.10811777,-0.10811777,0.066004529,9874136950,11.9564104,0,90,0,0,0.2,0.8,2.3,114,110.3,56.1,6508.8,6508.8,409367.566,300.7459326,2459853.621,69,70,1159.287231,4,64,127,3,22,47,Eclipse,3,22,47,1,0,1,1
144124187,TOI-2395,TOI-2395.01,6394,-125.5,125.5,1.13572,-0.0533442,0.0533442,4.43474,-0.09,0.09,413.22,-6.3595,6.3595,11.7622,175.879369,-7.296091,PC,24/11/2020 20:52,12.59441248,-0.6057351,0.6057351,2460014.604,-0.000774,0.000774,1.033598617,-0.02072262,0.02072262,4.0228111,-0.0859961,0.0859961,7.8686762,-4.23E-05,4.23E-05,0.101666052,PC,3,4,3,3,4,4,4,2020-11-24 20:52:12.571738+00:00,2024-11-15 17:03:36.658000+00:00,ephemeris match to TIC 144124186; CTOI from Marco Montalto; period updated to half of previous period (~15.7373186 d) with spoc-s01-s72,"[9, 63, 72]",0,0,0,0,TRUE,,1.28,,12.306,11.7622,11.288,11.046,11.004,10.888,10.912,10.596,TRUE,674.2,-258.36,419.14,1.318761921,2.121270428,-0.812891468,1.123600154,0.054040159,-0.054040159,0.084090666,12579784652,15.92135146,0,90,0,0,0.2,0.8,2.3,114.3,183.9,70.5,14482.11996,14482.11996,373694.1453,274.5381011,2460018.538,39,41,1133.098512,13,182,361,4,29,54,Eclipse,4,29,54,0,0,0,1
306337838,TOI-2397,TOI-2397.01,5527,-130.1,130.1,1.05951,-0.06,0.06,4.37463,-0.08,0.08,330.684,-5.638,5.638,12.0749,18.496744,-6.826842,PC,24/11/2020 20:52,8.106218218,-0.475838,0.475838,2459136.967,-0.00175,0.00175,0.492,-0.000255153,0.000255153,3.947,-0.269,0.269,6.00327,-2.00E-05,2.00E-05,0.070142712,PC,3,4,3,3,4,4,4,2020-11-24 20:52:12.673677+00:00,2020-11-24 20:52:12.673677+00:00,CTOI from Marco Montalto,"[3, 30]",0,0,0,0,TRUE,,0.97,,12.818,12.0749,11.379,11.023,10.935,10.893,10.938,10.983,TRUE,122.4,-44.21,69.22,0.217790476,0.385113468,-0.139100216,0.723189593,0.042451496,-0.042451496,0.063995274,9573556708,12.98811875,0,90,0,0,0.2,0.8,2.3,24.9,43.9,15.8,14209.2,14209.2,313422.1269,230.2586665,2459139.968,58,56,1084.429545,4,50,101,12,96,196,Transit,4,50,101,0,0,0,1
322807675,TOI-2398,TOI-2398.01,5099,-118.1,118.1,0.815562,-0.05,0.05,4.54763,-0.08,0.08,195.153,-1.828,1.828,11.6701,173.703285,-25.604717,PC,24/11/2020 20:52,9.393449289,-0.545819,0.545819,2459285.441,-0.000817,0.000817,1.115,-0.000502439,0.000502439,1.961,-0.094,0.094,19.4061437,-3.13E-05,3.13E-05,0.10559356,PC,3,4,3,3,4,4,4,2020-11-24 20:52:12.719987+00:00,2021-11-10 14:30:21.854000+00:00, CTOI from Marco Montalto; artifact TIC 322807676 close by; period could be half; period updated to longest period alias with spoc-s36 (19.4 days),"[9, 36]",0,0,0,0,TRUE,,0.856,0.285164,12.565,11.6701,10.862,10.432,10.291,10.269,10.31,10.17,TRUE,253.95,-89.87,139.27,0.438192424,0.799016056,-0.282762642,0.838028855,0.048694793,-0.048694793,0.134211333,20077729629,35.38633756,0,90,0,0,0.2,0.8,2.3,36.8,67,23.7,7059.6,7059.6,30580.22817,22.46606718,2459295.144,19,18,606.1110562,8,116,235,126,857,1719,Transit,8,116,235,0,0,0,1
101948569,TOI-240,TOI-240.01,4316,-173,173,0.702945,-0.0597739,0.0597739,4.5703,-0.370952,0.370952,74.881,-0.1538,0.1538,10.7011,14.75491,-44.160869,PC,29/11/2018 21:52,3.222328822,-0.3954969,0.3954969,2458360.115,-0.004079,0.004079,0.176618284,-0.01584359,0.01584359,4.2893299,-0.363308,0.363308,19.4723016,-7.66E-05,7.66E-05,0.042025978,PC,2,4,1,1,4,4,4,2018-11-29 21:52:42+00:00,2024-12-05 16:19:29.124000+00:00,some odd-even; low SNR; even transits look worse than odd,"[2, 29, 69]",0,0,0,0,TRUE,,0.67,,11.795,10.7011,9.645,9.056,8.852,8.725,8.773,8.7,TRUE,9.58,-5.64,13.71,0.043136484,0.030142051,-0.017745425,0.287477416,0.035283931,-0.035283931,0.123949964,18542650684,37.91651971,0,90,0,0,0.2,0.8,2.3,4.3,2.9,1.7,15441.58764,15441.58764,13663.65449,10.03813896,2458369.851,26,25,495.6238586,7,64,126,2631,15419,29026,Transit,7,64,126,0,0,0,1
11521555,TOI-2401,TOI-2401.01,6294,-132.5,132.5,3.09644,-0.14,0.14,3.54625,-0.09,0.09,323.506,-3.9455,3.9455,9.0982,146.44726,-25.457737,PC,24/11/2020 20:52,17.3505419,-1.02177,1.02177,2460012.074,-0.000924,0.000924,0.2639,-0.0179019,0.0179019,3.651,-0.447,0.447,5.8681984,-7.40E-06,7.40E-06,0.051371198,PC,3,4,3,3,4,4,4,2020-11-24 20:52:12.854133+00:00,2023-04-12 16:48:07.075000+00:00,CTOI from Marco Montalto,"[8, 9, 35, 62]",0,0,0,0,TRUE,,1.23,,9.581,9.0982,8.586,8.358,8.308,8.266,8.296,8.283,TRUE,341.06,-168.38,334.25,1.051668111,1.073094767,-0.529782727,1.54791433,0.09115637,-0.09115637,0.068237649,10208206923,4.738760855,0,90,0,0,0.2,0.8,2.3,103.2,105.4,52,13143.6,13143.6,3960519.786,2909.635045,2460015.008,68,70,2044.463421,3,25,49,1,2,4,Eclipse,1,2,4,0,0,0,2
231297123,TOI-2405,TOI-2405.01,4001,-122.07,122.07,0.756551,-0.0763267,0.0763267,4.47278,-0.120164,0.120164,153.332,-0.35,0.35,12.5515,45.144066,-51.793599,PC,24/11/2020 20:55,3.901864332,-0.5624441,0.5624441,2459117.32,-0.00152,0.00152,0.223566409,-0.021071806,0.021071806,1.6873516,-0.1933715,0.1933715,1.9792573,-9.00E-06,9.00E-06,0.04728281,PC,2,4,2,2,4,4,4,2020-11-24 20:55:50.046122+00:00,2024-04-24 18:49:54.819000+00:00,low SNR,"[30, 69]",0,0,0,0,TRUE,,0.62,,13.872,12.5515,11.329,10.696,10.531,10.442,10.531,10.41,TRUE,15.56,-8.28,17.72,0.055753355,0.048957235,-0.026051793,0.348101618,0.050177988,-0.050177988,0.026307457,3935539604,7.477287408,0,90,0,0,0.2,0.8,2.3,12.4,10.9,5.8,6074.46576,6074.46576,259364.1107,190.54441,2459118.309,503,504,1034.621542,8,115,234,41,354,706,Transit,8,115,234,1,0,1,1
153078576,TOI-2407,TOI-2407.01,3596,-157,157,0.524573,-0.0156219,0.0156219,4.71597,-0.0089583,0.0089583,92.4366,-0.20565,0.20565,12.5264,49.746545,-46.458025,PC,24/11/2020 20:55,4.099289919,-0.5265337,0.5265337,2459116.621,-0.001095,0.001095,0.513267828,-0.019655464,0.019655464,1.6998642,-0.1655338,0.1655338,2.7029187,-0.0001022,0.0001022,0.071642713,PC,2,4,1,1,4,4,4,2020-11-24 20:55:50.141268+00:00,2021-10-04 19:45:00.037000+00:00,possible odd-even likely due to transit at end of 1st orbit,"[3, 4, 30, 31]",0,0,0,0,TRUE,,0.52181,,14.68,12.5264,11.134,10.559,10.324,10.221,10.157,10.014,TRUE,17.65,-9.15,18.94,0.059591904,0.05553311,-0.02878912,0.36571478,0.046974271,-0.046974271,0.030573345,4573707247,12.53257828,0,90,0,0,0.2,0.8,2.3,13.4,12.5,6.5,6119.51112,6119.51112,60201.02842,44.22728114,2459117.972,359,358,718.264616,3,48,97,55,435,804,Transit,3,48,97,1,0,1,1
67630845,TOI-2408,TOI-2408.01,4935,-132.299,132.299,0.74845,-0.05,0.05,4.59823,-0.0917702,0.0917702,186.328,-0.9965,0.9965,11.9205,18.24241,-32.966016,PC,24/11/2020 20:55,5.801484831,-0.445623,0.445623,2459128.296,-0.002462,0.002462,0.505,-0.000894572,0.000894572,3.061,-0.662,0.662,9.4636148,-4.10E-05,4.10E-05,0.071063352,PC,3,4,3,3,4,4,4,2020-11-24 20:55:50.190452+00:00,2021-11-18 13:16:46.347000+00:00,Period confirmed at ~9.5 days with reprocessed QLP report including year 1 data,"[3, 30]",0,0,0,0,TRUE,,0.81,,12.776,11.9205,11.051,10.602,10.481,10.439,10.514,10.448,TRUE,41.73,-17.53,30.19,0.094988363,0.131297263,-0.055155548,0.517574699,0.03975589,-0.03975589,0.081623829,12210750993,23.45079547,0,90,0,0,0.2,0.8,2.3,10.5,14.5,6.1,11019.6,11019.6,61088.77235,44.87947101,2459133.028,45,45,720.5985265,3,36,73,105,798,1536,Transit,3,36,73,0,0,0,1
29919341,TOI-2422,TOI-2422.01,6159.7,,,0.877783,,,,,,100.804,,,9.4843,24.884512,-7.394729,APC,25/11/2020 22:47,5.32227223,,,2459131.394,-0.00205,0.00205,0.309,-0.0855056,0.0855056,4.91,-0.32,0.32,18.23603,-7.00E-05,7.00E-05,0.055587768,PC,3,4,3,3,4,4,4,2020-11-25 22:47:02.276715+00:00,2020-11-29 13:35:12.225000+00:00,two transits; one in Y1 one in Y3; 18.236d is one of at least 40 potential period aliases,"[3, 30]",0,0,0,0,TRUE,"Star Mass, ",0.819151763,-0.27,9.66,9.4843,8.54,8.284,8.229,8.184,8.222,8.212,TRUE,33.99,-15,26.87,0.084542475,0.1069445,-0.047195278,0.474822141,,,0.126869423,18979395587,31.07944172,0,90,0,0,0.2,0.8,2.3,7.5,9.4,4.1,17676,17676,84459.99215,62.04936886,2459140.512,21,20,781.2822518,1,8,15,32,160,309,Transit,1,8,15,0,0,0,2
248387177,TOI-2425,TOI-2425.01,5216,-124.037,124.037,0.779435,-0.04,0.04,4.6039,-0.084626,0.084626,159.676,-1.2615,1.2615,11.2415,19.130697,-0.290103,PC,04/12/2020 01:07,8.997453155,-0.510086,0.510086,2459436.98,-0.001069,0.001069,1.12,-0.000352116,0.000352116,4.068,-0.186,0.186,50.6939885,-0.0002554,0.0002554,0.105830052,PC,3,4,3,3,4,4,4,2020-12-04 01:07:14.811773+00:00,2024-11-18 12:12:47.639000+00:00,CTOI from Jana Steuer,"[3, 30, 42, 43, 70]",0,0,0,0,TRUE,,0.89,,11.95,11.2415,10.463,10.084,9.947,9.895,9.937,9.886,TRUE,206.65,-73.09,113.46,0.356985083,0.650193613,-0.229966858,0.802700386,0.045506903,-0.045506903,0.25788383,38578871827,71.14552956,0,90,0,0,0.2,0.8,2.3,21.2,38.6,13.6,14644.8,14644.8,8284.288168,6.086134265,2459462.327,7,7,437.269088,4,55,110,1120,7866,16014,Transit,4,55,110,0,0,0,1
149010208,TOI-243,TOI-243.01,6465,-193,193,1.94932,-0.10201,0.10201,3.97557,-2.00435,2.00435,709.175,-18.6355,18.6355,11.681,3.394115,-31.334403,APC,29/11/2018 21:52,26.05671006,-1.351701,1.351701,2458356.618,-0.000338,0.000338,1.501798012,-0.013873639,0.013873639,4.3114755,-0.0336294,0.0336294,3.4373093,-2.80E-06,2.80E-06,0.122547869,PC,3,4,3,3,4,4,4,2018-11-29 21:52:42+00:00,2022-10-03 15:28:44.442000+00:00,Gaia radius is 1.8 Rsun. Planet radius is big.,"[2, 29]",0,0,0,0,TRUE,,1.31,,12.174,11.681,11.207,10.93,10.879,10.858,10.894,10.789,TRUE,210.75,-114.56,251.53,0.791401885,0.663093656,-0.36044607,2.324627965,0.120590893,-0.120590893,0.048781373,7297589480,5.381139946,0,90,0,0,0.2,0.8,2.3,89,74.6,40.6,15521.3118,15521.3118,3419152.348,2511.914101,2458358.336,112,113,1970.681266,1,2,4,1,1,2,Eclipse,1,1,2,0,0,0,3
258804746,TOI-2431,TOI-2431.01,4079,-126,126,0.676459,-0.07,0.07,4.58376,-0.11,0.11,36.0559,-0.0593,0.0593,9.5209,37.765299,8.381625,PC,22/12/2020 23:47,1.714624553,-1.95546,1.95546,2460258.869,-0.000466,0.000466,0.054,-0.0636236,0.0636236,0.292,-0.026,0.026,0.224195,-4.00E-07,4.00E-07,0.0232379,PC,2,4,1,1,4,4,4,2020-12-22 23:47:36.780391+00:00,2024-01-04 15:36:55.843000+00:00,ultra short period,"[31, 42, 43, 70, 71]",0,0,0,0,TRUE,,0.64,,10.9,9.5209,8.356,7.729,7.554,,,,TRUE,2.37,-1.69,5.88,0.018500549,0.007456854,-0.005317335,0.15296882,0.174454756,-0.174454756,0.006224182,931124445.3,1.978537317,0,90,0,0,0.2,0.8,2.3,8.3,3.4,2.4,1051.2,1051.2,4002194.032,2940.251443,2460258.981,1574,1574,2050.532158,8,107,218,9,80,160,Eclipse,9,80,160,0,0,0,1
347553438,TOI-2432,TOI-2432.01,6130.52,-136.1,136.1,2.89255,-0.15,0.15,3.57996,-0.09,0.09,463.05,-8.647,8.647,10.1849,45.112779,0.380842,PC,22/12/2020 23:47,9.306174257,-0.917627,0.917627,2459168.252,-0.00774,0.00774,0.087,-0.000613301,0.000613301,1.491,-0.379,0.379,1.82738,-0.00114,0.00114,0.029495762,PC,3,4,3,3,4,4,4,2020-12-22 23:47:36.825222+00:00,2021-01-10 22:19:06.290000+00:00,evolved star; artifact TIC 347553439 close by; 2 additional sources in a few asecs distance: 347553440 & 640000127,[31],0,0,0,0,TRUE,,1.16,0.099,11.141,10.1849,9.567,9.31,9.206,9.139,9.162,9.166,TRUE,243.53,-86.19,133.46,0.41991212,0.76623107,-0.271184067,0.830242685,0.081865338,-0.081865338,0.030738993,4598487934,2.285136636,0,90,0,0,0.2,0.8,2.3,63.2,115.4,40.9,5367.6,5367.6,15329237.43,11261.77594,2459169.166,198,202,2867.650562,27,372,741,4,31,62,Eclipse,4,31,62,0,0,0,1
251094370,TOI-2437,TOI-2437.01,5927,-130.221,130.221,1.11457,-0.0551381,0.0551381,4.37728,-0.0782077,0.0782077,286.8,-3.39,3.39,11.2571,37.938574,-5.514987,PC,06/01/2021 21:28,4.321467583,-1.417944,1.417944,2459147.886,-0.003792,0.003792,0.126353263,-0.014009406,0.014009406,3.01966,-0.5149622,0.5149622,5.1660127,-0.0014862,0.0014862,0.035546204,PC,3,4,3,3,4,4,4,2021-01-06 21:28:53.523664+00:00,2021-01-06 16:20:21.559000+00:00,Bad transit shape,[31],0,0,0,0,TRUE,,1.08,,11.599,11.2571,10.68,10.392,10.367,10.322,10.363,10.242,TRUE,20.26,-10.16,20.35,0.06402826,0.063745089,-0.031966935,0.385536177,0.126500708,-0.126500708,0.060005005,8976620906,11.57666676,0,90,0,0,0.2,0.8,2.3,7.2,7.1,3.5,10870.776,10870.776,521796.86,383.3432258,2459150.469,73,72,1231.765861,10,141,280,77,632,1267,Transit,10,141,280,0,0,0,1
274194927,TOI-2439,TOI-2439.01,5283,,,0.946146,,,4.438,,,246.165,,,11.2212,54.028395,1.933815,PC,06/01/2021 21:28,5.5189119,-0.9781151,0.9781151,2459152.817,-0.00265,0.00265,0.285975777,-0.01644264,0.01644264,4.0964994,-0.3647681,0.3647681,14.3614789,-0.0037923,0.0037923,0.053476703,PC,3,4,3,3,4,4,4,2021-01-06 21:28:53.636522+00:00,2021-01-06 16:22:46.753000+00:00,The first transit is ramp-like.,[31],0,0,0,0,TRUE,"Star Mass, ",0.886809467,,12.259,11.2212,10.515,10.178,10.084,10.051,10.077,9.976,TRUE,37.24,-16.05,28.22,0.08879005,0.117170143,-0.050498947,0.492365188,0.087261734,-0.087261734,0.111094127,16619444856,25.24854475,0,90,0,0,0.2,0.8,2.3,8,10.7,4.6,14747.39784,14747.39784,69225.3108,50.85705948,2459159.998,26,24,743.4425897,6,77,155,235,1752,3461,Transit,6,77,155,0,0,0,1
142868621,TOI-2446,TOI-2446.01,5926,-127.064,127.064,0.987496,-0.0484472,0.0484472,4.48242,-0.078275,0.078275,159.87,-0.5795,0.5795,10.208,50.942745,-31.265187,PC,06/01/2021 21:28,3.755989907,-0.3608063,0.3608063,2458418.915,-0.082798,0.082798,0.121595299,-0.01273539,0.01273539,5.4844,-0.621795,0.621795,18.685862,-0.002104,0.002104,0.034870517,PC,3,4,3,3,4,4,4,2021-01-06 21:28:54.027781+00:00,2021-01-06 16:26:00.290000+00:00,actual period is 18.7 d,"[4, 31]",0,0,0,0,TRUE,,1.08,,10.719,10.208,9.675,9.394,9.323,9.269,9.307,9.256,TRUE,14.15,-7.66,16.82,0.052921638,0.044520879,-0.024101055,0.335087551,0.032189037,-0.032189037,0.141391889,21151925530,30.78878566,0,90,0,0,0.2,0.8,2.3,3.9,3.2,1.7,19743.84,19743.84,73720.81772,54.15972812,2458428.258,31,29,755.1798078,8,78,154,381,2188,4412,Transit,8,78,154,0,0,0,1
170729775,TOI-2449,TOI-2449.01,6054,-128.5,128.5,1.07798,-0.05,0.05,4.42593,-0.08,0.08,156.786,-0.5845,0.5845,9.8999,67.984371,-34.455533,PC,06/01/2021 21:30,11.85657223,-0.547507,0.547507,2459186.902,-0.000685,0.000685,1.0168,-6.35E-05,6.35E-05,7.792,-0.186,0.186,16.6542431,-2.83E-05,2.83E-05,0.100836501,PC,3,4,3,3,4,4,4,2021-01-06 21:30:16.374465+00:00,2021-01-06 16:14:19.717000+00:00,single transit,"[4, 5, 31, 32]",0,0,0,0,TRUE,,1.13,,10.416,9.8999,9.407,9.149,9.073,9.006,9.037,8.987,TRUE,702.05,-262.26,417.64,1.314042393,2.208896327,-0.82516224,1.057774343,0.048845387,-0.048845387,0.132985535,19894352929,26.52754814,0,90,0,0,0.2,0.8,2.3,96.4,162,60.5,28051.2,28051.2,108173.6314,79.47082857,2459195.229,42,40,831.1489548,4,32,62,2,10,20,Eclipse,2,10,20,0,0,0,2
154618248,TOI-245,TOI-245.01,6208,-117,117,1.46,-0.01,0.01,4.438,,,127.272,-0.9345,0.9345,8.5509,345.779176,-33.500473,PC,29/11/2018 21:52,5.298553764,-3.72981,3.72981,2460203.439,-0.00124,0.00124,0.1107,-0.360033,0.360033,0.926,-0.354,0.354,8.7709021,-9.70E-06,9.70E-06,0.03327161,PC,3,4,3,3,4,4,4,2018-11-29 21:52:42+00:00,2024-12-05 15:44:41.381000+00:00,two stars in pixel; variable host,"[2, 28, 29, 69]",0,0,0,0,TRUE,"Star Mass, ",1.403655397,,8.85,8.5509,7.88,7.63,7.588,7.444,7.524,7.52,TRUE,33.68,-14.88,26.7,0.084007595,0.105969131,-0.046817716,0.472706118,0.332751933,-0.332751933,0.093194939,13941764424,13.72596481,0,90,0,0,0.2,0.8,2.3,6.6,8.3,3.7,3333.6,3333.6,446772.1014,328.2255446,2460207.824,42,42,1184.855176,7,78,155,44,313,632,Transit,7,78,155,0,0,0,1
